name,address,latitude,longitude,hours,website,phone
Sandymount House,"1, Sandymount Green, Sandymount",53.332389,-6.215278,,,
O’Reilly’s,"5, Seafort Avenue, Sandymount",53.332825,-6.215243,,,
Horse Show House,"34-36, Merrion Road, Dublin",53.32852,-6.228928,,https://www.horseshowhouse.ie/,+35316689424
Paddy Cullen,"14, Merrion Road, Dublin",53.329018,-6.230281,,https://www.paddycullens.com/,
Mary Mac’s,"12, Merrion Road, Dublin",53.329048,-6.230373,,https://www.paddycullens.com/,
Crowe’s,"10, Merrion Road, Dublin",53.329108,-6.230561,,http://crowespub.ie/,
The Terenure Inn,"94-96, Terenure Road North, Dublin",53.311356,-6.283055,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",https://theterenureinn.ie/,+353 1 4907552
The Black Lion,"207A, Emmet Road, Dublin",53.33958,-6.320806,,,
The Saint,"Emmet Road, Dublin",53.339562,-6.318691,,,
Lowes Bar,"27, Dolphin's Barn Street",53.333764,-6.290637,,,
The Bird Flanagan,"471-477, South Circular Road, Dublin",53.336546,-6.299192,,,
Hogan’s Bar,"36, George's Street Great South, Dublin",53.341993,-6.26461,,,
McGarry’s Bar,"238, Harold's Cross Road, Dublin",53.321699,-6.279531,,,
Coman's,"Terenure Road East, Dublin",53.312007,-6.274806,,https://comans.ie/,
J P Mooneys,"1, Nassau Street, Dublin",53.342149,-6.254844,,,
Anseo,"18, Camden Street Lower, Dublin",53.335323,-6.264995,,https://anseo.pub/,
Fidelity,"79, Queen Street, Dublin",53.347102,-6.280292,,https://www.fidelitybar.ie/,
Frank Ryan’s,"5, Queen Street, Dublin",53.347006,-6.280049,Mo-Th 16:00-23:30; Fr-Sa 16:00-00:30; Su 18:00-23:00,,
Madigan’s,"19, O'Connell Street Upper, Dublin",53.35142,-6.26055,,,
The Celt,"81, Talbot Street, Dublin",53.350573,-6.254887,,,
The Old Storehouse,"3, Crown Alley, Dublin",53.345132,-6.262675,"Mo-Fr 12:00-24:00, Fr,Sa 11:00-02:00, Su 11:00-24:00",https://theoldstorehouse.ie/,
The Grattan,"Grattan Crescent, Dublin",53.339491,-6.321341,,,
McCloskeys,"83-85, Morehampton Road, Dublin",53.324433,-6.240424,"Mo-Fr 15:00+, Sa 12:30+, Su 15:00+",https://www.mccloskeysbakery.ie/,
The Skylon Bar & Grill,"27, Drumcondra Road Upper, Dublin",53.372765,-6.253083,,https://www.dublinskylonhotel.com/the-skylon-bar-and-grill.html,
Thomas Moore Inn,"12, Aungier Street, Dublin",53.340586,-6.265425,,,
The Jar,"31, Wexford Street, Dublin",53.336959,-6.265705,,https://thejar.ie/,+353-1-5579688
The South Strand,"1, Hanover Quay, Dublin",53.344349,-6.238178,,https://www.jdwetherspoon.com/pubs/all-pubs/republic-of-ireland/county-dublin/the-south-strand,
The Hut,"159, Phibsborough Road, Dublin",53.361007,-6.272536,,,
R. McSorley’s,"1-5, Sandford Road, Ranelagh",53.323301,-6.250081,,https://mcsorleys.ie/,
The Quays Bar,"10-12, Temple Bar, Dublin",53.345643,-6.263355,,https://quaysdublin.ie/,
Martin B. Slattery,"217-219, Rathmines Road Lower, Dublin",53.322155,-6.26589,,,
74 Talbot,"74, Talbot Street, Dublin",53.350879,-6.252911,,,
Corrigan’s,"27-28, Mountpleasant Avenue Lower, Rathmines",53.327552,-6.26167,,,+35314445139
Birchall’s,"127-129, Ranelagh, Ranelagh",53.32339,-6.250339,,,
Peadar Browns,"1, Clanbrassil Street Lower, Dublin",53.336234,-6.273453,"Mo-Th 10:30-11:30, Fr-Sa 10:30-12:30, Su 12:30-11:00",https://peadarbrowns.com,
The Secret Bar / The Bar With No Name,"3, Fade Street, Dublin",53.341885,-6.264156,,https://www.kellysdublin.com/food-and-drink/,
The Lord Edward,"23, Christchurch Place, Dublin",53.343119,-6.270051,,http://www.lordedward.ie,+35314542420
Oil Can Harry's,"31-32, Mount Street Lower, Dublin",53.338346,-6.24322,,http://oilcanharrys.ie/,
McLoughlin’s,"73, Georges Street Upper, Dún Laoghaire",53.29006,-6.130674,Mo-Su 12:00-23:00+,,+353-1-284-6025
The Forty Foot,"Marine Road, Dún Laoghaire",53.294012,-6.133772,"Mo-Th 08:00-23:30, Fr,Sa 08:00-00:30, Su 08:00-23:00",https://www.jdwetherspoon.com/pubs/the-forty-foot-dun-laoghaire/,+353-1-231-1926
The Purty Kitchen,"3-5, Old Dunleary Road",53.295194,-6.14815,Mo-Th 12:30-23:30; Fr-Sa 12:30-00:30; Su 12:30-23:00,https://www.purtykitchen.com/,+353-1-284-3576
Hardy’s Bar & Bistro,"Marine Road, Dún Laoghaire",53.291987,-6.13415,Mo-Th 16:30-23:30; Fr-Sa 12:30-24:30; Su 12:30-23:30,https://www.royalmarine.ie/hardys-bar-and-bistro.html,+353-1-230-0030
Trinity Sports & Leisure Club & Bar,,53.402245,-6.161338,,,
The Laurels,,53.307956,-6.319546,,,
The Pines,,53.307338,-6.318897,,,
Birchall’s,"1-5, Bangor Drive, Dublin",53.328038,-6.304945,,,+35314531381
The Lotts,"9, Liffey Street Lower, Dublin",53.347383,-6.263319,,,
Gravity Bar,,53.341902,-6.286488,Mo-Su 09:30-17:00,https://www.guinness-storehouse.com/,
Delaney’s,"83, North King Street, Dublin",53.349806,-6.278499,,,+35318730824
Bar 1661,"1-6, Green Street, Dublin",53.349263,-6.270465,,https://bar1661.ie,
Madigan's Bar & Grill,"Amiens Street, Dublin",53.351411,-6.249791,,https://www.madigansconnollystation.com/,
The Waterside,,53.328678,-6.396411,,,
The Two Foxes,"17, Georges Street Upper, Dún Laoghaire",53.291744,-6.135072,Mo-Th 10:00-23:00; Fr-Sa 10:00-23:45; Su 00:00-22:45,,+353 1 280 0084
Paidi Ogs,,53.402749,-6.397417,,,
Jack O’Rourke’s,"15, Main Street, Blackrock",53.301509,-6.177833,,https://jackorourkes.com/,+353-1-288-7102
Kelly and Coopers,"39, Main Street, Blackrock",53.301027,-6.177228,Mo-Sa 12:00-22:00; Su 12:00-21:00,https://kellyandcoopers.ie/,+353-1-210-1000
River Bar,"Burgh Quay, Dublin",53.346905,-6.258402,,https://riverbar.ie/,
Phibsborough House,"36, Phibsborough Road, Dublin",53.358826,-6.273424,,,
Token,"Mayor Street Lower, Dublin",53.349618,-6.243072,,https://www.tokendublin.ie/,
The Twelfth Lock,,53.38214,-6.367238,,,
The Camden,"84-87, Camden Street Lower, Dublin",53.336028,-6.265477,,,
Krystle,"21-25, Harcourt Street, Dublin",53.335843,-6.263564,Fr-Sa 23:00+,https://www.krystlenightclub.com/,
ely bar & brasserie,"Custom House Quay, Dublin",53.349283,-6.248024,,https://www.elywinebar.ie/,
Bartley’s Bar,"31-32, Stephen Street Lower, Dublin",53.341096,-6.264119,Mo-We off; Th 17:00-11:30; Fr 17:00-01:00; Sa 12:00-01:00; Su off,https://www.the-grafton-hotel.com/bartleys.html,+353-1-478-1190
The Exchequer,"5, Exchequer Street, Dublin",53.34312,-6.263866,,,
Sinnott’s,"King Street South, Dublin",53.34009,-6.261702,,https://www.sinnotts.ie/,+353 1 478 4698
Caribou,"28-30, Stephen Street Lower, Dublin",53.341201,-6.264291,,,
The Circular,"536-538, South Circular Road, Dublin",53.336171,-6.297985,,https://thecircular.ie,
DV8 Bar & Venue,"131, James Street, Dublin",53.343497,-6.290563,,,
Bonobo,"119-121, Church Street Upper, Dublin",53.350354,-6.274695,,https://www.bonobodublin.com,
D-Two,"Harcourt Street, Dublin",53.334406,-6.26293,,,
C Central,"34, Camden Street Upper, Dublin",53.333114,-6.264772,,https://www.camdencourthotel.com/,
J. O'Connell,"29, Richmond Street South, Dublin",53.330645,-6.264169,,,
The Galway Hooker,"Saint John's Road West, Dublin",53.346746,-6.292447,,,+35316703463
The Barn House,Dublin,53.332225,-6.292768,,,
J. & M. Cleary,"36, Amiens Street, Dublin",53.352336,-6.249543,,,
Pygmalion,"59, William Street South, Dublin",53.342172,-6.262304,,https://pyg.ie/,
The Landmark,"40, Wexford Street, Dublin",53.337441,-6.265903,,,
The Dunmore,"196, Rathmines Road Lower, Dublin",53.324285,-6.265144,"Mo-Th 17:00-24:00, Fr 15:00+, Sa-Su 12:30+",https://www.thebowery.ie/,+353-85-7267078
The Kingswood Lodge,,53.307407,-6.367274,,,
Board,"29, Clanbrassil Street Upper, Dublin",53.330422,-6.275613,,,
The Harold House,"34-35, Clanbrassil Street Upper, Dublin",53.330021,-6.275203,,,
Clonliffe Harriers Club Bar,,53.401469,-6.243544,"""event driven openings""",,
Frehill's Tavern,"62a-64, Saint Agnes' Park",53.319592,-6.313113,,,
Kodiak,"304, Rathmines Road Lower, Dublin",53.321812,-6.265636,,,
The Capitol Lounge,"1-2, Aungier Street, Dublin",53.341293,-6.265301,,https://www.capitol.ie/,+353 1 4757166
Egans,"17-18, Aungier Street, Dublin",53.340259,-6.265575,,https://www.egans.bar/,
Sanctuary,"Blanchardstown Centre, Dublin",53.39553,-6.389879,,https://www.cpireland.crowneplaza.com/crowne-plaza-dublin-blanchardstown/dining/the-sanctuary-bar/,
Cafe Bar H,"1, Grand Canal Square, Dublin",53.343386,-6.238878,Mo-Sa 12:00-01:00; Su 17:00-01:00,,01 8992216
The Malt,"27, James Street, Dublin",53.342939,-6.291006,,,
Dame Tavern,"18, Dame Court, Dublin",53.343821,-6.263915,,,
Boomers,,53.323513,-6.379242,,,
The Mission,"32, Ellis Street, Dublin",53.347095,-6.283689,,,+353 1 555 8820
Magic Glasses,"Cuffe Street, Dublin",53.337404,-6.263468,,,
The Dyflin Bar,"Golden Lane, Dublin",53.340834,-6.268159,"Mo-Th 09:30-23:30, Fr-Sa 09:30-00:30, Su 11:00-23:00",,+353 1 8982900
The Millennium,"4-5, Parkgate Street, Dublin",53.348047,-6.290046,,,
Murray’s,"33-34, O'Connell Street Upper, Dublin",53.352516,-6.261098,,https://www.murraysbar.ie/,
Pillar Bar,"23-25, Westmoreland Street, Dublin",53.346576,-6.258789,,,
The Temple,"71, Dorset Street Upper, Dublin",53.357352,-6.263712,,,
Porters,"16, Camden Street Lower, Dublin",53.335432,-6.264957,,,
Swift,"131, Thomas Street, Dublin",53.343302,-6.281082,,,
All My Friends,"61-63, Meath Street, Dublin",53.340664,-6.27815,,,
The Lamplighter,"The Coombe, Dublin",53.339743,-6.278088,,,
Tom Kennedy’s,"65, Thomas Street, Dublin",53.34274,-6.277213,,,
The Lark Inn,"80-81, Meath Street, Dublin",53.341684,-6.278673,,,
The Pimlico Tavern,"62, Pimlico",53.340064,-6.280721,,,
McDowell’s,"139, Emmet Road, Dublin",53.340249,-6.316822,,,
Gleesons of Booterstown,,53.305469,-6.197606,,,
Tolka House,"Glasnevin Hill, Glasnevin",53.3738,-6.268964,,,
Trinity Bar & Venue,"46-49, Dame Street, Dublin",53.344328,-6.263679,,https://trinitybarvenue.ie/,
Bad Bob's,"35-37, Essex Street East, Dublin",53.345033,-6.26599,"Mo-Su,PH 00:00-02:00,10:00-24:00",https://www.badbobs.ie/,+35316778860
The Two Sisters,,53.309119,-6.305349,,,
The Wicked Wolf,"2, Main Street, Blackrock",53.301926,-6.178001,Mo-Th 10:30-23:30; Fr-Sa 10:30-01:30; Su 12:00-23:00,,+353-1-283-6424
The Portobello Bar,"33, Richmond Street South, Dublin",53.33035,-6.264095,,https://theportobellobar.com/,
The Hill,"1, Old Mountpleasant, Ranelagh",53.326662,-6.25838,,https://www.thehillpub.ie/,
Morrissey's,,53.336845,-6.287695,,,
Fitzsimon's,"21-22, Wellington Quay, Dublin",53.345471,-6.265117,,https://www.fitzsimonsbar.ie/,
Edenmore House,"Edenmore Avenue, Raheny",53.388262,-6.183413,,,
The Concorde,"Edenmore Avenue, Raheny",53.388899,-6.180986,,,
Quarry House,"68, Ballygall Road East, Dublin",53.382084,-6.276725,Mo-Th 11:00-23:00; Fr-Sa 11:00-00:30; Su 12:00-23:00,,
Autobahn Roadhouse,Glasnevin Avenue,53.389704,-6.271221,,,
The Slipper,"125, Ballymun Road, Dublin",53.385324,-6.265609,"Mo-Sa 11:30-23:30, Su 12:30-23:00",,
Nubar,,53.38507,-6.258921,Mo-Fr 08:00-24:00,,
The Comet,"243, Swords Road, Dublin",53.388452,-6.246031,,,
Rory O'Connor's,,53.315934,-6.317308,,,
The Submarine,,53.316173,-6.317386,,,
Barcode,,53.362979,-6.228708,,,
Brewery Bar,,53.340486,-6.286878,,,
EpiCenter,EastPoint Business Park,53.357281,-6.226927,,,
Pebble Beach,"18, Conquer Hill Road, Clontarf",53.359487,-6.18968,,https://pebblebeachclontarf.ie/,+35318332762
Kyle’s,"Main Street, Coolock",53.388856,-6.200861,,,+353 1 848 1972
Dusk Nightclub,"Oscar Traynor Road, Dublin",53.396458,-6.214925,,,
Ardlea Inn,"Ardlea Road, Dublin",53.386653,-6.211595,,,
The Roundabout,"2, Ardcollum Avenue, Artane",53.383917,-6.206845,,,
The Goblet,"Malahide Road, Artane",53.380313,-6.210093,,,
Kavanagh’s,"35, New Street South, Dublin",53.336354,-6.272836,,,
An Cappagh Nua,Barry Road,53.395102,-6.311176,,,
Hemidemisemiquaver Bar,Dublin,53.348754,-6.228557,,,
O’Shea’s,"19, Talbot Street, Dublin",53.350862,-6.25427,,https://osheasoftalbotstreet.com,+353 1 836 5670
The Black Lion,"Orchard Road, Clondalkin",53.321347,-6.393386,,,
The Laurels,"Main Street, Clondalkin",53.320959,-6.39296,,https://thelaurelsclondalkin.ie/,+353-1-457-0833
The Purty Central,"Main Street, Clondalkin",53.321196,-6.393218,,https://www.thepurtycentral.com/,
The Steering Wheel,,53.320785,-6.394173,,,
The Elphin,"36, Baldoyle Road",53.389335,-6.123688,,http://elphin.ie/,
The Halfway House,,53.323818,-6.328425,,,
Marble Arch,Davitt Road,53.335911,-6.31204,,,
The Hub (The Shaw Arms),"Saint Agnes Road, Dublin",53.320689,-6.31626,,,
The Legal Eagle,"1-2, Chancery Place, Dublin",53.345836,-6.272154,,,
The Green Room,"117-126, Upper Sheriff Street",53.349801,-6.229929,,https://www.thegreenroombar.ie/,
Seabank House,,53.354888,-6.229189,,,
The Stone Boat,"35-37, Sundrive Road",53.320644,-6.292173,,,
K.C.R. House,"326, Kimmage Road Lower, Dublin",53.314197,-6.296438,,,+35314902530
The Old County,"125, Old County Road, Dublin",53.327394,-6.306002,,,
The Square Ball,"45, Hogan Place",53.340843,-6.244782,,https://the-square-ball.com/,+353 1 662 4473
The Strand House,"172, North Strand Road, Dublin",53.355003,-6.246017,,,
Mullet’s,"45, Amiens Street, Dublin",53.352579,-6.249301,,,
Blackbanks Bar & Grill,"Greendale Road, Kilbarrack",53.385975,-6.155508,,https://blackbanks.ie/,
Cellar Bar,Dublin,53.338756,-6.252609,,https://www.merrionhotel.com/dine/the-cellar-bar/,
Cumiskey’s,"41, Dominick Street Upper, Dublin",53.354342,-6.272006,Mo-Sa 12:00-23:30; Su 12:30-23:00,,
The Berkeley,,53.356157,-6.267843,,,
Bison Bar,"11, Wellington Quay, Dublin",53.345402,-6.266369,,https://bisonbar.ie,
Darkey Kelly’s,"Fishamble Street, Dublin",53.343956,-6.26997,,https://darkeykellys.ie,
Oscars,"Unit 6, Block A, Smithfield Market, Dublin",53.348862,-6.278524,,,
Glynn’s,"100, Dorset Street Upper, Dublin",53.355516,-6.265965,,,
Delahunty's,"99, Dorset Street Lower, Dublin",53.35563,-6.265803,,,
The Findlater,"80, Dorset Street Upper, Dublin",53.356975,-6.264586,,,
Peadar Kearney's,"64, Dame Street, Dublin",53.344273,-6.265415,,http://www.peadarkearneys.ie/,
Busker's Bar,"13-17, Fleet Street, Dublin",53.345838,-6.260483,,https://www.buskersbar.com/,
Conway’s,"3, Main Street, Blackrock",53.301754,-6.178192,Mo 12:00-23:30; Tu-We 15:30-23:30; Th 12:00-23:30; Fr-Sa 12:00-00:30; Su 12:30-23:00,http://www.conwaysblackrock.com/,+353-1-278-4934
Eccles Townhouse,"Dorset Street Upper, Dublin",53.357402,-6.264164,,,
Tim Young's,,53.341649,-6.356864,,,
The Blarney Inn,,53.342126,-6.254831,,,
The Laurence Lounge,,53.343047,-6.338032,,,
Downey's,,53.342336,-6.357149,,,
O’Neill’s,"2, Suffolk Street, Dublin",53.343834,-6.260743,,http://www.oneillspubdublin.com/,
Molloy’s,"59, Talbot Street, Dublin",53.35114,-6.251334,,https://www.molloysdublin.com/,+353 1 547 8873
Grace’s,"2-5, Rathgar Road, Dublin",53.321814,-6.266436,,,
Cleary's,,53.341648,-6.321361,,,
The Library Bar,"1, Exchequer Street, Dublin",53.343143,-6.264115,"Mo-Fr 08:30-19:30, Sa 10:00-18:30, Su 12:00-17:30",,+353-1-6719765
Camden Bites & Brews,"9, Camden Street Lower, Dublin",53.335905,-6.265032,,,
The Horse Shoe,Saint Agnes Road,53.320091,-6.316115,,,
Chelsea Drugstore,"25, South Great George's Street, Dublin",53.342254,-6.264435,"Mo-We 16:00-24:00, Th-Su 16:00+",https://thechelseadrugstore.ie/,+353-1-6139093
Huck’s,"8, Camden Street Lower, Dublin",53.335963,-6.265077,,,
Peggy Kelly’s,"159-163, Harold's Cross Road, Dublin",53.323755,-6.278506,,https://www.peggykellys.ie/,+353 1 4978935
Arthur Mayne’s,"48-50, Donnybrook Road, Dublin",53.321678,-6.23527,,,
Rody Boland’s,"12-14, Rathmines Road Upper, Dublin",53.321125,-6.265463,,,
Mother Reilly’s Bar & Restaurant,"26-30, Rathmines Road Upper, Dublin",53.320781,-6.265146,,https://uppercrosshousehotel.com/bar/,+353-1-4975486
Kenny’s,"174, James's Street, Dublin",53.342433,-6.294464,,,
John's Bar & Haberdashery,"61, Thomas Street, Dublin",53.342686,-6.277522,,,
Cú Chulainn's at Croke Park,"Summerhill, Dublin",53.356365,-6.250775,,,
Senior Common Room,,53.344863,-6.257582,,,
Hartstown House,,53.392669,-6.419755,,,
The Wild Duck,"17-19, Sycamore Street, Dublin",53.344572,-6.265789,,,+35315356849
Oscars Christchurch,"16-18, Fishamble Street, Dublin",53.344135,-6.269776,,http://www.oscarschristchurch.com/,
J.T. Pims,"4, George's Street Great South, Dublin",53.343716,-6.264263,"Mo-Th 12:00-23:30, Fr-Sa 12:00-01:00, Su 12:00-23:00",https://www.jtpims.ie/,+353 1 6724645
Mulligan and Haines,"32, Dame Street, Dublin",53.344076,-6.263475,,,+353 1 882-4355
Camden Exchange,"72, Camden Street Lower, Dublin",53.335109,-6.265433,Mo-Th 16:00-24:00; Fr-Su 12:00-24:00,,+353 1 5599028
Hely's Bar,"Dame Street, Dublin",53.344054,-6.26426,,,
The Vaults,"Amiens Street, Dublin",53.351361,-6.24948,,,
The Roselawn Inn,,53.383701,-6.38172,Mo-Th 16:00-23:00; Fr-Su 12:00-23:00,,
White Bar,"North Wall Quay, Dublin",53.347032,-6.237697,,https://www.mvcillairne.com/,+353 1 8178760
The Carlisle Bar,,53.292018,-6.130342,,,
Kennedys Bar,,53.296478,-6.211426,,,
M O'Loughlin,"26, George's Street Lower, Dún Laoghaire",53.293939,-6.140061,"Mo off; Tu-Th 11:30-23:00; Fr-Sa 11:30-23:30; Su 12:15-15:00,19:00-23:00",,+353-1-280-7391
Premier Bar,Dublin,53.381972,-6.291763,,,
UCD Clubhouse Bar,Dublin,53.308129,-6.227041,Mo-Su 08:00-11:30,https://clubhouseevents.ucd.ie/,(01) 716 3147
The Liquor Rooms,"6-8, Wellington Quay, Dublin",53.345338,-6.266939,Mo-Su 17:00+,,+353 87 3393688
Pat Hanway,Hardwicke Street,53.356763,-6.263144,,,
House Dublin,"27, Leeson Street Lower, Dublin",53.334001,-6.255157,"Mo-We 10:00-24:00, Th-Fr 10:00-03:00, Sa 16:00-03:00",https://www.housedublin.ie/,+353 1 9059090
Den Bar,"27-29, Pembroke Road, Dublin",53.332251,-6.24128,,,
Dicey’s Garden,"21-25, Harcourt Street, Dublin",53.335909,-6.26356,,https://www.russellcourthotel.ie/diceys-garden/,
Leggs pub,"Leeson Street Lower, Dublin",53.334176,-6.254773,,,
Charlemont Bar & Bistro,"Charlemont Place, Dublin",53.330948,-6.259287,,https://www.hilton.com/en/hotels/dubduhn-hilton-dublin/dining/,
Vintage Cocktail Club,"Crown Alley, Dublin",53.34503,-6.262892,,https://vintagecocktailclub.com/,
Xico,"142-143, Baggot Street Lower, Dublin",53.337863,-6.252793,Mo-Sa 17:00-03:00; Su off,https://xico.ie/,+353-1-661-8829
Robert Reade Bar and Cafe,,53.35136,-6.251392,,,
The Bridge 1859,"13, Ballsbridge Terrace, Dublin",53.329291,-6.232,,https://www.thebridge1859.ie,+353-1-660-2804
D’Arcy McGee’s,"Tallaght Road, Templeogue",53.293441,-6.323625,,,
Olive Green,"Baggot Street Lower, Dublin",53.336274,-6.248569,,,
Cherry Tree Pub and Restaurant,"1, Walkinstown Cross",53.316463,-6.332728,"Mo-Th 10:00-23:30; Fr,Sa 10:30-00:30; Su 12:30-23:00",https://www.cherrytree.ie/,+353 1 450 3983
Angler’s Rest,"Lower Lucan Road, Dublin",53.359143,-6.358785,,,
Wigwam,"54, Middle Abbey Street, Dublin",53.348004,-6.262153,Mo-Su 11:00-03:00,https://wigwamdublin.com/,+353 1 873 4020
Drunken Fish,"Mayor Street Lower, Dublin",53.349174,-6.244184,,https://drunkenfish.ie/,
Open Gate Brewery,,53.343231,-6.286961,,https://www.guinnessopengate.com,
Urban Brewing,"Custom House Quay, Dublin",53.349117,-6.248064,,https://www.urbanbrewing.ie/,+353 1 568 5989
Churchtown Stores,"5, Braemor Road, Churchtown",53.295771,-6.260322,,https://www.churchtownstores.ie/,
The Market Bar,"14A, Fade Street, Dublin",53.342052,-6.264036,,https://marketbar.ie/,
The Saddle Room,"St. Stephen's Green, Dublin",53.339235,-6.256146,Mo-Su 17:30-22:00,https://www.theshelbourne.com/dine-drink/the-saddle-room,
Brass,Stillorgan Road,53.295247,-6.202945,,,
Stella Cocktail Club,"207-209, Rathmines Road Lower",53.322389,-6.265841,,https://stellatheatre.ie/stella-cocktail-club/,
Fibber Magee’s,"80-81, Parnell Street, Dublin",53.352854,-6.260512,,http://www.fibbermagees.ie,
The Snug Bar,"15, Stephen Street Upper, Dublin",53.341461,-6.265991,,,
r.i.o.t.,"4, Aston Quay, Dublin",53.346258,-6.261532,,https://www.riotdublin.com/,
The Place,"Amiens Street, Dublin",53.351692,-6.250104,,https://www.theaddressconnolly.com/food/the-place/,
Grain & Grill Bar,"Smithfield Terrace, Dublin",53.349632,-6.278663,Mo-Su 17:00-23:30,,+353(0) 1 485 0900
Grain & Grill Bar,"Naas Road, Dublin",53.313117,-6.392987,Mo-Th 10:00-23:30; Fr-Sa 10:00-00:30; Su 10:00-23:00,,+35314640140
Grain & Grill Bar,"Pearse Street, Dublin",53.343532,-6.243623,Mo-Su 12:00-22:00,https://www.maldronhotels.com/dining/grain-and-grill-restaurants/,+353 1 670 3666
Belvedere Bar,"Great Denmark Street, Dublin",53.355013,-6.262401,Mo-Su 11:00-21:30,,
The Bar With No Name,"3, Fade Street, Dublin",53.341902,-6.264235,,https://www.noname.bar/,
53 South William,"William Street South, Dublin",53.34174,-6.262663,,,
Grain & Grill,Kevin Street Upper,53.338198,-6.271756,,,
Alfred's,,53.342004,-6.286689,,,
Decies County,"Decies Road, Ballyfermot",53.341,-6.335407,,,
The Fourth Corner,"50, Patrick Street, Dublin",53.338921,-6.2723,,https://www.fourthcorner.ie/,
Mary’s Bar & Hardware Shop,"8, Wicklow Street, Dublin",53.342863,-6.260375,,https://marysbar.ie/,+353 1 670 8629
Metzo,"Shangan Road, Ballymun",53.396692,-6.263712,,,
Zozimus Bar,"Anne's Lane, Dublin",53.340577,-6.259771,,https://www.zozimusbar.ie/,
The Mint Bar,"35-39, Westmoreland Street, Dublin",53.345655,-6.258902,,https://www.marriott.com/en-us/hotels/dubwi-the-westin-dublin/dining/,
Crowbar,"2, Temple Lane South, Dublin",53.345077,-6.26433,,,
Farrier & Draper Bar & Restaurant,"59, William Street South, Dublin",53.34243,-6.262168,,https://www.farrieranddraper.ie/,
The Schooner Bar,"Sutton Cross, Sutton",53.388747,-6.110215,,https://www.marinehotel.ie/en/restaurant/,
The Hot Sandwich Company,"Sweetman House, 41 a, Stapolin, Dublin 13",53.399311,-6.146917,Mo-Th 08:00-16:00; Fr 08:00-17:00; Sa 09:00-17:00; Su 10:00-16:00,,(01) 828 5001
The Well,"130, St. Stephen's Green, Dublin",53.339524,-6.26133,,https://thewelldublin.ie/,
P. Duggan’s,"25, Parkgate Street, Dublin",53.348182,-6.293224,,,+35316778448
The Big Romance,"98, Parnell Street, Dublin",53.353484,-6.25922,,https://www.thebigromance.ie,+35315595997
Ohana Tiki Bar,"17, Harcourt Street, Dublin",53.336256,-6.263488,,https://www.ohanadublin.ie/,
The Library Bar,,53.292049,-6.130206,,,
Manhattan,,53.342682,-6.356495,,,
Chasers,,53.342475,-6.353597,,,
The Bottle Boy,"North Wall Quay, Dublin",53.347181,-6.232551,Mo-Th 12:00-23:00; Fr-Sa 12:00-23:30; Su 12:30-23:00,https://themayson.ie/taste/the-bottle-boy/,
